Board ID,Class,SubjectID,Book Name,Unit,Chapter,Topic,QuestionID,Question Description,References,Question Type,Option1,Weightage1,Option2,Weigtage2,Option3,Weightage3,Option4,Weightage4,CorrectAnswer
,CL06,GE,the earth our habitat ,,C04,,CL6_GE_B28_C04_Q01,Maps showing distribution of forests are,,MCQ1,thematic map ,5,physical map ,0,political map ,0,direction map ,0,option 1
,CL06,GE,the earth our habitat ,,C04,,CL6_GE_B28_C04_Q02,The blue colour in maps is used for showing,,MCQ1,water bodies ,5,mountains ,0,plains ,0,clouds ,0,option 1 
,CL06,GE,the earth our habitat ,,C04,,CL6_GE_B28_C04_Q03,A compass is used –,,MCQ1,to show symbols ,0,to find the main direction ,5,to measure distance ,0,to predict about rain ,0,option 2
,CL06,GE,the earth our habitat ,,C04,,CL6_GE_B28_C04_Q04,A scale is necessary,,MCQ1,for a map ,0,for a sketch ,0,for symbols ,0,to measure lengths,0,option 1 
,CL06,GE,the earth our habitat ,,C04,,CL6_GE_B28_C04_Q05,Which of the following is not a component of a map?,,MCQ1,distance ,0,direction ,0,symbol ,0,border ,5,option 4 
,CL06,GE,the earth our habitat ,,C04,,CL6_GE_B28_C04_Q06,Which of the following is not a feature of physical map?,,MCQ1,mountains ,0,population ,5,rivers ,0,oceans ,0,option 2 
,CL06,GE,the earth our habitat ,,C04,,CL6_GE_B28_C04_Q07,A political map does not show ________,,MCQ1,countries ,0,boundaries ,0,states ,0,population ,5,option 4 
,CL06,GE,the earth our habitat ,,C04,,CL6_GE_B28_C04_Q08,Which of the following is not a cardinal direction?,,MCQ1,down ,5,east ,0,west ,0,north ,0,option 1 
,CL06,GE,the earth our habitat ,,C04,,CL6_GE_B28_C04_Q09,The scale of a map is the ratio between the actual distance on the ground and the distance shown on the map,,MCQ1,true ,0,false ,0,,0,,0,option 1 
,CL06,GE,the earth our habitat ,,C04,,CL6_GE_B28_C04_Q10,_____ colour is used for showing mountains.,,MCQ1,Blue,0,Black,0,Brown,5,Yellow,0,option 3 
,CL06,GE,the earth our habitat ,,C04,,CL6_GE_B28_C04_Q11,The vertical line with an arrow at the top marked with N indicates the,,MCQ1,Nominal Direction,0,North Direction,5,New Direction,0,Near Direction,0,option 2
,CL06,GE,the earth our habitat ,,C04,,CL6_GE_B28_C04_Q12,A plan is a drawing of a small area on a ___________ scale,,MCQ1,Very small,0,Middle,0,Small,0,North,5,option 4 
,CL06,GE,the earth our habitat ,,C04,,CL6_GE_B28_C04_Q13,When a large scale area are shown on a small map it is called,,MCQ1,Small scale map,0,Little scale map,0,Short scale map,0,Near scale map,5,option 4 
,CL06,GE,the earth our habitat ,,C04,,CL6_GE_B28_C04_Q14,_____ represents the curved surface areas of the whole world on a flat sheet of paper,,MCQ1,Plan,5,Map,0,Scale,0,Globe,0,option 1
,CL06,GE,the earth our habitat ,,C04,,CL6_GE_B28_C04_Q15,The globe shows ____ of the earth correctly,,MCQ1,Direction,0,Shape,5,Length,0,Height,0,option 2
,CL06,GE,the earth our habitat ,,C04,,CL6_GE_B28_C04_Q16,Usually top of the map indicates ____ direction,,MCQ1,West,0,South,5,East,0,North,0,option 2
,CL06,GE,the earth our habitat ,,C05,,CL6_GE_B28_C05_Q01,The uppermost solid layer of the earth is called,,MCQ1,Hydrosphere,0,Biosphere,0,Atmosphere,0,Lithosphere,5,option 4
,CL06,GE,the earth our habitat ,,C05,,CL6_GE_B28_C05_Q02,"The water mass of the earth including oceans , seas, rivers etc in the atmosphere",,MCQ1,Lithosphere,0,Atmosphere,0,Biosphere,0,Hydrosphere,5,option 4
,CL06,GE,the earth our habitat ,,C05,,CL6_GE_B28_C05_Q03,How many oceans are there in the world?,,MCQ1,3,0,2,0,7,0,5,5,option 4
,CL06,GE,the earth our habitat ,,C05,,CL6_GE_B28_C05_Q04,Which of the following is not a continent?,,MCQ1,Indian,5,Australia,0,Africa,0,Europe,0,option 1
,CL06,GE,the earth our habitat ,,C05,,CL6_GE_B28_C05_Q05,Atmosphere is,,MCQ1,The layer of oxygen gases which surrounds the earth,0,The layer of nitrogen gases which surrounds the earth,0,layer of various gases which surrounds the earth,5,The layer of carbon gases which surrounds the earth,0,option 3
,CL06,GE,the earth our habitat ,,C05,,CL6_GE_B28_C05_Q06,The major constituent of atmosphere by percent is,,MCQ1,Hydrogen,0,Oxygen,0,Carbon,0,Nitrogen,5,option 4
,CL06,GE,the earth our habitat ,,C05,,CL6_GE_B28_C05_Q07,The domain of the earth consisting of solid rocks is,,MCQ1,Lithosphere,5,Atmosphere,0,Mesosphere,0,Hydrosphere,0,option 1
,CL06,GE,the earth our habitat ,,C05,,CL6_GE_B28_C05_Q08,The ____ ocean is named after a country,,MCQ1,Arctic,0,Pacific,0,Indian,5,Antarctic,0,option 3
,CL06,GE,the earth our habitat ,,C05,,CL6_GE_B28_C05_Q09,Which one of the following is the largest continent?,,MCQ1,North America,0,Africa,0,South America,0,Asia,5,option 4
,CL06,GE,the earth our habitat ,,C05,,CL6_GE_B28_C05_Q10,Which of the following is not among the major domain of the earth?,,MCQ1,Lithosphere,0,Atmosphere,0,Hydrosphere,0,Stratosphere,5,option 4
,CL06,GE,the earth our habitat ,,C05,,CL6_GE_B28_C05_Q11,Which of the following is not an ocean?,,MCQ1,Antarctica,5,Atlantic,0,Indian,0,Pacific,0,option 1
,CL06,GE,the earth our habitat ,,C05,,CL6_GE_B28_C05_Q12,How many continents are there?,,MCQ1,8,0,7,5,5,0,4,0,option 2
,CL06,GE,the earth our habitat ,,C05,,CL6_GE_B28_C05_Q13,_____ passes through the Europe,,MCQ1,Arctic Circle,5,Tropic of cancer,0,Tropic of Capricorn,0,Antarctic Circle,0,option 1
,CL06,GE,the earth our habitat ,,C05,,CL6_GE_B28_C05_Q14,Which is the home of human kind?,,MCQ1,Earth,5,Mars,0,Mercury,0,Venus,0,option 1
,CL06,GE,the earth our habitat ,,C05,,CL6_GE_B28_C05_Q15,The highest mountain peak on the earth is,,MCQ1,Kanchenjunga,0,Aravalli,0,K2,0,Everest,5,option 4
,CL06,GE,the earth our habitat ,,C06,,CL6_GE_B28_C06_Q01,Which plateau is known as peninsular plateau?,,MCQ1,Sahara,0,North,0,Deccan,5,Chotanagpur,0,option 3
,CL06,GE,the earth our habitat ,,C06,,CL6_GE_B28_C06_Q02,Jog falls is located in which state.,,MCQ1,Kerala,0,Tamil Nadu,0,Karnataka,5,Odisha,0,option 3
,CL06,GE,the earth our habitat ,,C06,,CL6_GE_B28_C06_Q03,Name the Major Chinese River.,,MCQ1,Fangtze,0,Tangtez,0,Yangtze,5,Ken-zuan,0,option 3
,CL06,GE,the earth our habitat ,,C06,,CL6_GE_B28_C06_Q04,What do we call the Uplifted block?,,MCQ1,Mountain,0,Hill,0,Horst,5,Hilts,0,option 3
,CL06,GE,the earth our habitat ,,C06,,CL6_GE_B28_C06_Q05,Which of the following is the name of a volcanic mountain?,,MCQ1,Aravali,0,Kilimanjaro,5,Alps,0,Andes,0,option 2
,CL06,GE,the earth our habitat ,,C06,,CL6_GE_B28_C06_Q06,Example of Old Fold Mountain:,,MCQ1,Aravali,5,Himalaya,0,Alps,0,Andes,0,option 1
