Introduction 
Subject Name,Teacher Name
English,1713timeuser
Mathematics,1713timeuser
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
1,Hindi,,,,,
2,EVS,EVS,,,,
3,English,English,English,English,,
4,Mathematics,Mathematics,Mathematics,,,
Subject Name,Teacher Name
English,Deepak
Mathematics,Deepak
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
1,English,English,English,English,English,English
2,English,English,English,,,
3,Mathematics,Mathematics,Mathematics,,,
4,Hindi,Hindi,Hindi,Hindi,Hindi,
5,EVS,EVS,EVS,EVS,,
6,Geography,Geography,Geography,Geography,Geography,Geography
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
1,English,English,English,,,
2,Mathematics,Mathematics,,,,
3,Hindi,Hindi,Hindi,,,
4,EVS,EVS,EVS,EVS,EVS,
5,Matlab,Matlab,Matlab,Matlab,Matlab,
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Subject Name,Teacher Name
English,Tomatomaster
Mathematics,Tomatomaster
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Subject Name,Teacher Name
Hindi,Parag Sinha
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
1,Science,Science,,,,
2,English,English,English,English,,
3,Mathematics,Mathematics,,,,
4,Hindi,Hindi,Hindi,Hindi,,
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
1,Matlab,Matlab,Matlab,Matlab,Matlab,
2,English,English,English,,,
3,Mathematics,Mathematics,,,,
4,Hindi,Hindi,Hindi,,,
5,EVS,EVS,EVS,EVS,EVS,
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
1,Mathematics,Mathematics,,,,
2,Hindi,Hindi,Hindi,Hindi,,
3,Science,Science,,,,
4,English,English,English,English,,
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
1,EVS,EVS,,,,
2,English,English,English,English,,
3,Mathematics,Mathematics,Mathematics,,,
4,Hindi,,,,,
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
1,Mathematics,Mathematics,Mathematics,,,
2,Hindi,,,,,
3,EVS,EVS,,,,
4,English,English,English,English,,
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
1,English,English,English,English,,
2,Mathematics,Mathematics,Mathematics,,,
3,Hindi,,,,,
4,EVS,EVS,,,,
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
1,EVS,EVS,EVS,EVS,,
2,Geography,Geography,Geography,Geography,Geography,Geography
3,English,English,English,English,English,English
4,English,English,English,,,
5,Mathematics,Mathematics,Mathematics,,,
6,Hindi,Hindi,Hindi,Hindi,Hindi,
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
1,Geography,Geography,Geography,Geography,Geography,Geography
2,English,English,English,English,English,English
3,English,English,English,,,
4,Mathematics,Mathematics,Mathematics,,,
5,Hindi,Hindi,Hindi,Hindi,Hindi,
6,EVS,EVS,EVS,EVS,,
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
1,Mathematics,Mathematics,Mathematics,,,
2,Hindi,Hindi,Hindi,Hindi,Hindi,
3,EVS,EVS,EVS,EVS,,
4,Geography,Geography,Geography,Geography,Geography,Geography
5,English,English,English,English,English,English
6,English,English,English,,,
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
1,EVS,EVS,EVS,EVS,EVS,
2,Matlab,Matlab,Matlab,Matlab,Matlab,
3,English,English,English,,,
4,Mathematics,Mathematics,,,,
5,Hindi,Hindi,Hindi,,,
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
1,Hindi,Hindi,Hindi,Hindi,,
2,Science,Science,,,,
3,English,English,English,English,,
4,Mathematics,Mathematics,,,,
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
1,English,English,English,English,,
2,Mathematics,Mathematics,,,,
3,Hindi,Hindi,Hindi,Hindi,,
4,Science,Science,,,,
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
1,Hindi,Hindi,Hindi,,,
2,EVS,EVS,EVS,EVS,EVS,
3,Matlab,Matlab,Matlab,Matlab,Matlab,
4,English,English,English,,,
5,Mathematics,Mathematics,,,,
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
1,Mathematics,Mathematics,,,,
2,Hindi,Hindi,Hindi,,,
3,EVS,EVS,EVS,EVS,EVS,
4,Matlab,Matlab,Matlab,Matlab,Matlab,
5,English,English,English,,,
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Subject Name,Teacher Name
Periods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
